crypto_name,first_date
raiden-network-token,2017-11-08
gamecredits,2014-09-01
smartcash,2017-07-21
razor-network,2021-02-07
bitcoin-cash,2017-07-23
digg,2021-01-27
airswap,2017-10-17
nebula-ai,2019-01-22
bitnation,2018-08-07
reserve-rights,2019-05-24
hard-protocol,2020-12-08
blitzpredict,2018-03-27
pikciochain,2019-01-22
solanium,2021-08-30
xcredit,2020-10-30
reef,2021-02-02
multi-collateral-dai,2019-11-22
dos-network,2019-03-22
verge,2014-10-25
tesra,2019-10-18
bitcoin,2013-04-28
2key-network,2020-05-14
showhand,2018-08-16
beekan,2019-01-22
content-value-network,2019-01-22
ugchain,2019-01-22
mex,2019-01-22
tether-gold,2020-02-07
radix,2021-01-04
ark,2017-03-22
mobox,2021-08-26
pibble,2019-02-28
forceprotocol,2019-07-17
chia-network,2021-09-09
engine,2019-01-22
tolar,2018-10-05
color-platform,2019-10-03
vipstar-coin,2018-05-01
neurotoken,2018-02-20
hyve,2021-07-21
empowr-coin,2019-01-22
lcx,2019-12-03
aencoin,2019-01-22
kine,2021-03-15
p-usd-coin,2021-10-05
3dcoin,2019-09-24
krios,2019-06-06
litecoin,2013-04-28
vectorspace-ai,2019-12-18
flash,2019-01-22
bnsd-finance,2020-09-06
ice-rock-mining,2018-08-07
syncfab,2019-01-22
ucash,2019-01-22
qtum,2017-05-24
utrust,2017-12-29
dsla-protocol,2021-03-16
gameswap,2020-11-04
linda,2019-01-22
fatcoin,2019-04-10
blocktrade-token,2019-01-22
deepbrain-chain,2017-12-28
expanse,2015-09-15
exosis,2019-01-28
raven-protocol,2019-06-19
local-coin-swap,2018-07-25
lto-network,2019-02-06
iot-chain,2017-12-10
b2bx,2019-01-22
capital-x-cell,2019-11-22
icon,2017-10-27
suqa,2019-01-22
nebulas-token,2017-08-23
futureswap,2021-03-30
alien-worlds,2021-04-14
tosdis,2021-01-28
datawallet,2019-01-22
pax-gold,2019-09-26
bezant,2018-05-11
deflect,2020-12-14
smartmesh,2017-12-14
aidus-token,2019-03-07
ixledger,2017-07-27
bobs-repair,2018-07-03
essentia,2018-07-06
daneel,2019-01-22
bomb,2019-05-22
babb,2018-03-09
trinity-network-credit,2018-01-22
weshow-token,2019-01-22
yfdai-finance,2020-09-08
monolith,2017-05-07
birake,2018-09-13
stafi,2020-09-13
fluz-fluz,2019-01-22
meridian-network,2020-08-12
index-cooperative,2021-02-07
cryptobosscoin,2019-11-01
genesis-vision,2017-11-15
unilend,2020-10-22
nucypher,2020-10-16
kardiachain,2020-04-18
moviebloc,2019-06-21
cloakcoin,2014-06-07
bitcore,2017-04-27
tachyon-protocol,2020-01-03
0chain,2018-07-02
goldmint,2018-02-09
tomochain,2018-03-08
cardano,2017-10-01
venus-bnb,2021-09-09
safecapital,2019-12-11
zen-protocol,2019-01-22
temco,2019-02-04
perpetual-protocol,2021-01-18
mooncoin,2019-01-22
tokocrypto,2021-04-08
neutrino-dollar,2020-01-30
izichain,2019-06-12
ethverse,2020-08-14
sharder,2018-05-03
sf-capital,2019-04-12
valuecybertoken,2019-01-22
cnns,2019-05-13
raze-network,2021-09-17
yearn-finance,2020-07-20
fortuna,2018-01-26
qunqun,2019-01-22
microbitcoin,2018-10-26
dascoin,2019-01-22
kind-ads-token,2018-08-03
lepricon,2021-03-18
anyswap,2020-08-17
genesis-shards,2021-04-15
ost,2017-12-19
hedget,2020-09-14
polymath-network,2018-02-02
bitkan,2018-07-30
quickswap,2021-02-24
origin-sport,2018-06-27
big-data-protocol,2021-03-10
vite,2018-07-18
paxos-standard,2018-09-27
chromia,2019-05-28
blockpass,2018-08-10
xiotri,2020-08-21
truebit,2021-05-02
palletone,2019-01-22
distributed-credit-chain,2019-01-22
ampleforth,2019-06-28
tent,2021-02-25
dash,2014-02-14
graviocoin,2018-08-07
daps-token,2019-01-22
strike,2021-05-13
kadena,2020-05-31
glitch,2021-01-20
stakenet,2018-04-13
optionroom,2021-02-09
cryptobonusmiles,2019-09-03
lition,2019-04-17
devery,2018-01-24
auto,2021-02-03
thunder-token,2019-05-10
perlin,2019-08-26
proxeus,2019-01-22
mahadao,2020-12-18
automata-network,2021-06-07
polkafoundry,2021-03-17
compound-usdt,2020-10-16
mir-coin,2018-10-03
formosa-financial,2019-01-22
sav3token,2020-11-16
lightning-bitcoin,2018-01-03
komodo,2017-02-05
vinci,2019-11-19
autonio,2019-01-22
blockburn,2019-07-30
orion-protocol,2020-07-16
rocket-pool,2018-07-18
eurocoin-token,2019-02-14
skale-network,2020-12-01
deepcloud-ai,2019-08-20
shipchain,2018-03-10
snetwork,2018-10-11
debitum-network,2019-01-22
dodo,2020-12-15
ti-value,2019-01-22
invictus-hyperion-fund,2018-09-17
aphelion,2019-01-22
enigma,2017-10-13
rmpl,2020-08-11
bidao,2020-09-30
firmachain,2019-11-20
exrnchain,2017-10-25
carat,2019-01-22
alluva,2019-05-22
humanscape,2018-11-08
travala,2018-05-28
oraichain-token,2021-01-18
spendcoin,2019-01-22
sharetoken,2019-11-26
hxro,2019-02-15
exmr,2018-08-01
bitcherry,2020-07-03
arcblock,2018-02-26
ontology-gas,2018-08-23
tellor,2019-11-19
agrello-delta,2017-09-09
hitchain,2018-08-16
novacoin,2019-01-22
hermez-network,2020-11-19
venus,2020-11-06
mb8-coin,2019-08-21
duckdaodime,2021-01-18
xcrypt,2019-09-10
bondly,2021-01-09
swftcoin,2018-01-09
contentos,2019-06-20
airbloc,2018-08-13
midas-dollar,2021-02-18
chain-games,2020-08-28
tokamak-network,2020-08-29
caspian,2019-04-05
popsicle-finance,2021-05-13
alchemy-pay,2020-09-09
salt,2017-09-29
iotex,2018-05-25
eccoin,2019-01-22
liquity-usd,2021-09-09
hyperion,2019-01-14
spacechain,2018-01-17
parachute,2019-06-25
eva-cash,2019-05-24
master-contract-token,2018-07-31
tezos,2017-10-02
eos-force,2019-10-10
atari-token,2021-09-03
library-credit,2019-01-22
zip,2019-01-22
valor-token,2019-04-18
certik,2020-10-28
delphy,2017-11-08
endorsit,2019-01-22
neumark,2019-01-22
vegaprotocol,2021-09-07
etherparty,2017-10-30
bosagora,2019-08-05
wall-street-games,2021-07-27
boom,2019-07-23
blockmesh,2018-05-21
zoracles,2020-12-03
nexo,2018-05-01
stater,2021-03-22
vodi-x,2019-05-23
lukki,2019-08-26
epns,2021-04-14
uttoken,2019-01-22
all-sports,2018-01-27
blockstack,2019-10-28
neoworld-cash,2019-04-16
get-protocol,2018-01-11
project-with,2019-11-09
coinhe-token,2019-10-19
leocoin,2019-01-22
lukso,2020-05-25
apis,2019-01-22
treelion,2019-10-08
lattice-token,2020-11-10
quasarcoin,2019-01-22
feathercoin,2013-05-03
polkacover,2021-01-22
ceek-vr,2018-06-11
beam,2019-01-17
synlev,2020-11-19
saffron-finance,2020-11-20
lendingblock,2018-05-01
arbitrage,2019-02-21
small-love-potion,2020-07-09
dego-finance,2020-09-17
tendies,2020-07-31
bitfex,2019-10-15
value-defi-protocol,2021-01-18
base-protocol,2020-12-03
dawn-protocol,2021-07-05
oneledger,2018-07-12
api3,2020-11-30
sun-contract,2021-06-24
blockcloud,2019-04-11
bitpanda-ecosystem-token,2019-10-18
just-stablecoin,2020-04-14
pchain,2018-06-04
fnb-protocol,2019-04-11
soverain,2019-09-23
harmony,2019-06-01
audius,2020-11-24
digixdao,2016-04-18
futurocoin,2019-01-22
fantom,2018-10-30
key,2019-01-22
proton-token,2019-01-22
parsiq,2020-10-30
medishares,2017-12-13
uma,2020-05-25
impossible-finance,2021-10-07
bitcoin2network,2019-01-22
newstoken,2019-01-22
tron,2017-09-13
mktcoin,2018-02-10
mars,2021-01-13
troy,2019-12-06
fear-nfts,2021-08-09
artfinity,2019-05-17
native-utility-token,2020-08-17
dai,2019-11-28
blockv,2017-11-28
loom-network,2018-03-14
zynecoin,2019-12-30
frax-share,2021-01-04
synthetix-network-token,2018-03-14
irisnet,2019-04-18
dws,2019-01-22
vivid-coin,2018-08-01
trueusd,2018-03-06
safeinsure,2018-10-01
kylin,2021-03-04
clover,2021-08-05
otcbtc-token,2019-01-22
webcoin,2018-08-02
smart-bitcoin,2021-06-14
meconcash,2019-10-25
dora-factory,2021-10-05
sxag,2021-02-05
zclassic,2016-11-10
totemfi,2021-07-09
bitex-global-xbx-coin,2019-03-19
yield,2021-01-10
adventure-gold,2021-09-03
monero-v,2019-05-02
roobee,2019-10-17
bitcoin-gold,2017-10-23
aioz-network,2021-04-05
render-token,2020-06-11
bluzelle,2018-02-06
sakura-bloom,2018-05-15
p-aave,2021-10-05
bridgecoin,2019-01-22
logiscoin,2019-01-22
spiking,2019-07-15
popchain,2019-01-22
aidos-kuneen,2019-01-22
acute-angle-cloud,2018-01-20
smartofgiving,2018-09-21
trias-token,2021-05-14
polkastarter,2021-01-31
bytom,2017-08-08
nexus-mutual,2020-07-20
rublix,2018-05-01
hellogold,2017-10-12
speed-mining-service,2019-01-22
stealth,2014-07-10
cindicator,2017-10-13
streamr-datacoin,2017-11-03
aidcoin,2018-01-24
bread,2017-12-24
propy,2017-09-19
maker,2017-08-27
qlink,2017-12-29
zero-exchange,2021-01-20
aeron,2017-11-07
deus-finance,2021-01-13
coinsuper-ecosystem-network,2018-10-11
cryptofranc,2019-07-02
gala,2021-08-05
bitcny,2016-04-27
gsenetwork,2019-01-22
tcash,2019-06-06
game,2018-01-03
ren,2018-02-21
hydrogen,2019-01-22
chiliz,2019-07-01
almeela,2019-01-22
usdx-stablecoin,2019-12-30
wingshop,2020-08-14
dusk-network,2019-07-11
wepower,2018-02-09
zmine,2019-01-22
balancer,2020-06-24
everus,2019-01-22
cocos-bcx,2019-08-21
streamit-coin,2019-09-02
counos-x,2020-10-21
meetone,2018-08-10
yam,2020-08-11
volt,2019-01-22
rhenium,2019-01-22
idex,2019-05-09
ferrum-network,2019-08-29
kyber-network,2017-09-24
you-coin,2018-08-01
edgeware,2020-03-09
enecuum,2019-08-13
sportyco,2019-01-22
the-tokenized-bitcoin,2020-10-26
innovaminex,2019-06-14
metal,2017-07-09
punk,2021-09-03
bilaxy-token,2019-04-18
p-quickswap,2021-10-05
treecle,2020-07-02
barnbridge,2021-01-18
dafi-protocol,2021-09-20
otocash,2019-04-09
themis,2018-08-09
dexter-g,2019-04-03
inmax,2019-01-22
planet,2019-08-28
cwv-chain,2018-11-16
jarvis-network,2020-11-19
nxt,2013-12-04
electrifyasia,2018-03-09
bitmart-token,2018-07-13
energy-web-token,2020-03-30
dnotes,2016-04-27
kin,2017-09-27
icechain,2019-02-18
kishu-inu,2021-04-22
bolt,2019-04-05
lisk-machine-learning,2019-01-22
everipedia,2018-07-13
minter-network,2020-04-22
likecoin,2018-07-10
herbalist-token,2018-12-21
solrise-finance,2021-08-30
union-protocol-governance-token,2020-12-21
cafeswap-token,2021-02-18
finnexus,2020-06-18
evos,2019-03-04
super-zero,2019-07-19
hurify,2019-01-22
kira-network,2020-12-08
santiment,2017-07-12
flo,2019-01-22
eden,2018-09-17
avalanche,2020-07-13
compound-usd-coin,2020-07-24
piedao-dough-v2,2020-10-05
bao-finance,2021-03-02
azuki,2020-11-11
zeroswap,2020-10-19
touchcon,2019-05-24
okb,2019-04-30
crpt,2018-01-22
etherisc,2020-12-01
swapcoinz,2019-10-31
dero,2018-04-23
morpheus-labs,2018-05-04
acre,2019-01-22
nuls,2017-10-25
juventus-fan-token,2020-12-22
polkabridge,2021-01-27
einsteinium,2014-04-09
electra,2019-01-22
fuzex,2018-05-10
burst,2019-01-22
dogecoin,2013-12-15
bispex,2019-11-18
axis-defi,2020-08-22
aavegotchi-ghst-token,2020-09-15
agora,2019-10-16
cargox,2018-01-31
onx-finance,2020-12-22
dragon-token,2019-01-22
chainx,2019-08-01
klaytn,2021-03-25
block-array,2019-01-22
yam-v2,2020-08-21
alphacat,2018-02-15
shopping,2021-01-02
7eleven,2019-10-23
canyacoin,2019-01-22
aeon,2015-08-04
scryinfo,2018-01-20
condominium,2019-01-22
easyfi,2020-10-30
ormeus-coin,2019-01-22
bitceo,2019-04-26
betprotocol,2019-12-26
internet-computer,2021-05-10
tokok,2019-01-22
trade-token-x,2019-01-22
zeusshield,2017-10-13
everex,2017-10-10
etheera,2019-01-22
viberate,2017-10-06
basis-cash,2020-11-30
tratok,2019-05-07
libra-credit,2018-05-22
promotion-coin,2019-01-22
plair,2019-01-28
neblio,2017-09-12
kalkulus,2018-08-01
distx,2020-09-01
bakerytoken,2021-04-29
edu-coin,2019-01-22
cvcoin,2019-01-22
method-finance,2021-04-28
mysterium,2017-06-14
nft,2021-03-22
neo,2016-09-09
max-property-group,2019-02-22
litentry,2021-02-13
dxdao,2020-05-26
e-dinar-coin,2019-01-22
amber,2017-10-23
cudos,2021-02-03
pal-network,2019-01-22
jury-online-token,2019-01-22
stableusd,2019-02-06
xvix,2020-12-14
dock,2018-04-25
sbtc,2020-10-26
degenvc,2020-08-24
atlant,2017-11-01
viacoin,2014-07-18
asian-fintech,2019-05-20
loopring-neo,2019-01-22
wings,2017-01-11
kuende,2019-05-21
adbank,2018-02-03
tepleton,2019-10-08
universa,2019-01-22
skrumble-network,2018-05-10
mytoken,2019-01-22
typhoon-cash,2021-01-22
life,2019-01-22
smartshare,2018-06-15
gridplus,2017-11-01
electroneum,2017-11-02
muzika,2019-05-15
sparkle,2019-03-08
1world,2019-01-22
effect-ai,2018-04-24
rotharium,2018-09-12
yffii-finance,2020-09-09
footballcoin,2019-01-03
rate3,2018-06-27
polis,2018-01-11
lamden,2018-01-08
file-coin,2020-10-15
kusama,2019-12-14
hold,2019-01-22
mvl,2018-07-27
numeraire,2017-06-23
farmatrust,2019-01-22
cortex,2018-04-16
omnitude,2018-08-06
mgc-token,2019-06-24
just,2020-05-07
xtrabytes,2019-01-22
sdefi,2021-02-05
carrot,2020-09-03
ureeqa,2021-05-04
milk-alliance,2020-08-05
keep3rv1,2020-10-28
iht-real-estate-protocol,2018-03-01
inlock,2019-11-01
sureremit,2019-01-22
insights-network,2018-03-03
zeuxcoin 2,2019-08-14
bora,2019-03-18
matic-network,2019-04-28
esbc,2019-04-22
mithril-share,2021-01-02
hashgard,2018-07-18
dentacoin,2017-08-11
0xcert,2018-07-12
btse,2020-03-12
swissborg,2018-02-03
waykichain,2018-01-09
vesper,2021-03-02
avinoc,2019-01-22
tacos,2020-08-13
yui-token,2020-11-19
bitcoin-one,2019-01-22
doki-doki-finance,2020-10-12
connect-coin,2019-05-14
bmultiplier,2021-03-02
decentraland,2017-09-17
paint,2021-03-04
heartbout,2018-08-14
darwinia-commitment-token,2020-07-28
kucoin-shares,2017-10-24
cosmos,2019-03-14
coinmetro-token,2019-08-01
datx,2018-03-08
pura,2019-01-22
zelwin,2021-09-09
blocery,2021-02-03
huobi-token,2018-02-03
polyient-games-governance-token,2020-10-06
paycent,2018-09-21
cova,2018-12-26
coti,2019-06-04
polkamarkets,2021-03-30
morpheus-network,2019-01-22
aladdin,2019-06-27
marlin,2020-12-22
bytecoin-bcn,2016-04-27
boson-protocol,2021-05-11
gamee,2021-08-05
bitrewards,2018-07-25
gonetwork,2018-07-05
bitcoin-interest,2018-05-03
slink,2021-02-05
0xbtc,2018-06-04
decentralized-machine-learning,2018-04-30
bridge-oracle,2021-05-14
eosdac,2018-04-17
ftx-token,2019-07-31
maidsafecoin,2014-04-28
husd,2019-10-15
buysell,2021-01-25
pivx,2016-02-13
project-pai,2018-07-05
splyt,2021-04-01
maecenas,2017-10-18
time-new-bank,2017-11-27
carlive-chain,2019-01-22
peculium,2018-03-25
ergo,2017-06-29
noia-network,2019-07-31
oxygen,2021-03-16
oceanex-token,2019-04-23
starbase,2017-12-20
nem,2015-04-01
serum,2020-08-11
algorand,2019-06-21
bulwark,2019-01-22
deapcoin,2020-04-10
wavesbet,2019-09-05
axie-infinity,2020-11-06
origin-protocol,2020-01-09
nsure-network,2020-11-06
mobilego,2017-06-11
bitcoin-atom,2018-01-13
orchid,2019-12-26
huobi-pool-token,2019-02-01
o3swap,2021-08-30
verime,2019-01-22
nix,2018-07-28
3x-long-bitcoin-token,2020-01-21
parkgene,2018-05-10
oin-finance,2020-09-03
bounce,2021-03-02
steth,2021-09-09
gincoin,2019-01-22
eos,2017-07-01
apecoin,2020-10-19
cpchain,2018-01-30
arweave,2020-05-27
force-for-fast,2020-08-10
mdex,2021-04-06
rif-token,2019-01-16
globalvillage-ecosystem,2019-01-22
flamingo,2020-09-30
tokoin,2019-08-28
road,2020-01-07
solve,2019-02-04
xdna,2018-08-09
linktoken,2019-08-02
trustswap,2020-07-10
ugas,2019-04-16
zeuxcoin,2019-08-14
xyo,2018-05-22
molecular-future,2018-01-22
aditus,2018-04-23
ttc-protocol,2019-01-22
biotron,2018-05-01
stellar,2014-08-05
samurai,2020-09-21
myneighboralice,2021-03-15
stasis-euro,2018-07-30
ubique-chain-of-things,2019-01-22
daostack,2018-05-10
flexacoin,2019-03-23
the-abyss,2019-01-22
colletrix,2019-09-27
funfair,2017-06-27
elastos,2018-02-01
gxchain,2017-06-25
cashaa,2019-01-22
zkswap,2021-02-18
crycash,2019-01-22
open-predict-token,2020-08-24
now-token,2019-04-29
octofi,2021-01-18
sake-token,2020-09-11
parallelcoin,2016-04-27
howdoo,2019-01-22
open-platform,2018-05-22
drp-utility,2019-01-22
titan-coin,2019-05-06
vidy,2019-09-04
badger-dao,2020-12-07
revain,2017-11-01
goose-finance,2021-02-18
pton,2019-03-25
mina,2021-06-24
diamond-platform-token,2019-05-06
lendroid-support-token,2019-01-22
bitcoin-rhodium,2019-04-04
vertcoin,2014-01-20
eboostcoin,2017-06-06
mcdex,2020-07-29
w3coin,2019-01-22
alpha-finance-lab,2020-11-06
tribe,2021-08-23
hydro,2021-03-03
medium,2019-12-14
atn,2019-01-22
yffs,2020-09-03
nest-protocol,2020-07-14
poa-network,2019-01-22
yfi-mobi,2020-11-10
b20,2021-02-17
lien,2020-08-25
wazirx,2020-02-06
swerve,2020-09-05
uquid_coin,2017-12-13
coinsbit-toke,2020-01-08
aax-token,2020-04-24
jackpool-finance,2020-09-05
vexanium,2018-07-31
playdapp,2021-09-01
cotrader,2019-03-07
safepal,2021-02-10
paytomat,2019-04-11
narrative,2019-01-22
mithril,2018-03-24
pancakeswap,2020-09-29
ecomi,2021-04-26
theta,2018-01-17
sumokoin,2017-05-30
meter,2020-07-27
metaverse-index,2021-04-14
timicoin,2019-01-22
fintrux-network,2018-04-23
yee,2018-01-20
dacc,2019-01-22
xensor,2019-10-21
stellite,2019-01-22
serve,2019-02-26
stratis,2016-08-12
fio-protocol,2020-07-19
cazcoin,2019-01-22
brz,2019-07-19
opcoinx,2019-01-22
yeld-finance,2020-10-22
blocknode,2019-01-22
loser-coin,2021-05-11
peos,2019-05-09
hathor,2021-03-02
step-finance,2021-07-19
power-index-pool-token,2020-12-10
growthdefi,2020-08-26
decred,2016-02-10
coinfi,2018-01-29
telcoin,2018-01-15
the-midas-touch-gold,2018-09-27
neural-protocol,2018-10-05
hegic,2020-10-26
crypto-com,2017-07-03
amino,2019-09-10
radicle,2021-03-15
illuvium,2021-07-12
ivy,2019-01-22
powerpool,2020-08-28
wrapped-bitcoin,2019-01-30
tether,2015-02-25
senso,2021-09-08
swipe,2019-08-26
nss,2019-09-10
near-protocol,2020-10-14
rally,2021-03-10
livepeer,2018-12-19
balpha,2021-03-15
rupiah-token,2019-09-24
defibox,2020-09-09
haven-protocol,2018-04-23
owl-token-stealthswap,2020-10-07
stormx,2017-12-20
hoge-finance,2021-03-15
adshares,2017-08-12
frontier,2020-09-15
defichain,2021-09-09
decentr,2020-07-14
eminer,2019-08-22
eosblack,2019-01-22
deor,2021-03-04
aurora,2018-06-26
hex,2019-12-17
ruler-protocol,2021-03-05
nexus,2015-01-25
neurochain,2018-08-01
fox-token,2021-07-19
rarible,2020-10-01
ripple,2013-08-04
superrare,2021-08-23
semux,2018-08-02
energi,2018-08-24
xinfin-network,2018-04-13
faircoin,2019-01-22
moonswap,2020-09-11
newscrypto,2021-10-04
sparkpoint,2021-04-15
meta,2020-07-18
dmscript,2020-11-20
en-tan-mo,2019-09-11
helpico,2019-08-08
sealchain,2019-09-03
ubex,2018-08-13
chi-gastoken,2020-08-13
fountain,2019-01-03
pepe-cash,2019-01-22
eosdt,2019-06-17
dent,2017-08-12
own,2019-01-22
blockmason,2017-10-17
quadrantprotocol,2018-12-04
armor,2021-01-27
kcash,2018-01-12
safe-haven,2019-04-02
revv,2020-10-01
dextrust,2020-08-27
coinpoker,2018-03-08
dew,2019-01-22
everycoin,2019-02-20
tenset,2021-08-09
odem,2019-01-22
ribbon-finance,2021-10-08
asura-coin,2018-10-19
defi-bids,2020-09-29
more-coin,2017-06-16
thorchain,2019-07-23
degenerator,2020-08-16
decentralized-vulnerability-platform,2019-09-11
metadium,2018-10-09
bifrost,2020-12-29
qiibee,2019-07-18
nerva,2018-11-07
bee-token,2019-01-22
unibright,2018-05-21
xdai,2020-05-19
orbs,2019-04-03
phala-network,2020-09-13
pangolin,2021-05-01
ibtc-synthetix,2021-02-05
midasprotocol,2018-09-27
pegnet,2019-12-26
ion,2019-01-22
whiteheart,2020-12-28
zippie,2019-01-22
blox,2017-08-07
safemoon,2021-03-16
fm-gallery,2021-03-24
bqt,2019-05-10
vnx-exchange,2019-12-11
yearn-finance-dot,2020-10-14
zbg-token,2018-10-23
big-bang-game-coin,2019-04-02
carvertical,2018-01-22
archer-dao-governance-token,2021-01-31
atlantis-blue-digital-token,2019-01-22
bitsum,2019-01-22
1inch,2020-12-25
tripio,2018-05-09
nftx,2021-04-09
bit-tube,2018-03-06
ink,2017-11-20
ionchain,2018-10-26
hypercash,2017-08-20
arcs,2020-02-02
seele,2018-05-31
shift,2019-01-22
valuto,2019-01-22
wing,2020-09-16
veriblock,2019-04-05
rlc,2017-04-20
portion,2021-03-15
olympus,2021-05-14
custody-token,2019-08-12
aelf,2017-12-21
evencoin,2018-09-11
zerobank,2019-06-11
tigercash,2019-03-19
divi,2018-10-12
ethereum,2015-08-07
business-credit-alliance-chain,2019-01-22
when-token,2019-04-09
simone,2019-08-29
six,2018-09-21
pivot-token,2019-07-17
amoveo,2019-02-05
crowns,2021-03-15
gatechain-token,2019-08-26
ton-crystal,2020-10-26
dimecoin,2016-04-27
ptokens-btc,2021-02-05
defipie,2020-08-06
yamv3,2020-09-22
vechain,2018-08-03
zeedex,2020-09-10
dxchain-token,2018-08-10
golem-network-tokens,2016-11-18
ruff,2018-01-29
nervenetwork,2020-07-27
sp8de,2019-01-22
stpt,2019-06-12
pixel,2019-07-10
sentinel-chain,2018-04-02
videocoin,2019-08-28
u-network,2018-04-17
ethos,2017-07-18
dad-chain,2019-10-31
tierion,2019-01-22
pundi-x-nem,2018-08-07
finxflo,2021-02-11
compound-uniswap,2021-07-29
ultralpha,2019-12-27
oax,2017-07-31
mixmarvel,2019-09-02
q-dao-governance-token,2019-06-26
mantra-dao,2020-08-18
monero-classic,2018-04-20
proxynode,2019-01-04
ink-protocol,2018-02-28
litex,2018-08-02
moneytoken,2018-08-30
one-cash,2021-01-02
peanut,2021-03-18
indahash,2019-01-22
darcio-ecosystem-coin,2019-01-22
populous,2017-07-11
bitcoin-file,2019-01-22
hashsbx,2019-03-01
yflink,2020-08-10
amon,2018-05-03
ulord,2018-09-07
boosted-finance,2020-09-03
v-dimension,2019-04-29
shield-xsh,2017-11-03
